ID,age1,age2,GF1,GF2,GAK1,GAK2,Female,GC1,GC2,GQ1,GQ2
4040,3,4.17,,,449,463.67,0,,,437,437
4043,18,18.83,516.5,524.5,547.33,545.33,0,553,556,572,593
4051,4,4.83,,,446.33,444.67,1,,,452,442
4067,18,19.17,520,526.5,536.67,531.67,0,528,534,539,539
4070,3,3.75,,,454,468.67,0,,,418,
4080,4,4.33,,,446.33,449.67,1,,,418,423
4086,19,19.67,534,534.5,536.67,532.67,0,543,549,556,545
4104,19,19.25,514.5,528.5,541.33,536,0,537,534,551,561
4110,19,19.42,518.5,526.5,539.67,547,0,556,553,534,561
4113,17,17.5,547.5,521.5,538.33,553.33,1,546,560,539,551
4117,4,4.58,,,466.67,461.67,1,,,437,442
4118,19,19.75,514.5,531,548,543.33,0,531,531,556,561
4122,19,19.92,508,538.5,529.33,549.67,0,543,556,572,561
4125,17,26,523,532,536.33,,0,537,548,539,
4131,18,18.42,527.5,525.5,533.33,531.33,0,534,540,534,528
4154,17,18.17,491.5,505,529.33,534.33,0,525,537,512,522
4163,4,4.67,,,451.33,448.67,1,,,428,428
4175,16,16.42,489,498.5,511,521.33,0,510,503,517,517
4186,3,3.67,,,436,449.67,0,,,423,418
4190,3,6.25,,469,434,465,1,,466,408,456
4199,4,7.25,,468,433,475,0,,478,413,456
4201,3,3.67,,,451,455.67,1,,,418,433
4202,4,6.75,,481,453,487,0,,469,428,481
4210,19,21.83,513,515,541.67,532.67,1,549,562,534,539
4211,4,7.33,,493,443,470.33,0,,475,413,481
4216,4,5,,,446.33,453,0,,,408,437
4219,3,3.58,,,437,448,1,,,423,418
4222,4,4.83,,,399,415.33,0,,,391,408
4234,3,6.5,,461,423.33,452.67,0,,460,391,423
4235,3,4.17,,,427.33,451,1,,,386,423
4236,4,6.92,,463,439.67,471.67,0,,469,358,442
4242,18,18.58,479.5,491.5,500,501.33,1,473,500,476,507
4251,18,18.58,511.5,513.5,526.33,529.67,0,553,553,545,539
